node_id,x,y,degree_at_node_0,degree_at_node_1,degree_at_node_2,degree_at_node_3,degree_at_node_4,degree_at_node_5,degree_at_node_6,degree_at_node_7,degree_at_node_8,degree_at_node_9,degree_at_node_10,degree_at_node_11,degree_at_node_12,degree_at_node_13,degree_at_node_14,degree_at_node_15,degree_at_node_16,degree_at_node_17,degree_at_node_18,degree_at_node_19,degree_at_node_20,degree_at_node_21,degree_at_node_22,degree_at_node_23,degree_at_node_24,degree_at_node_25,degree_at_node_26,degree_at_node_27,degree_at_node_28,degree_at_node_29,degree_at_node_30,degree_at_node_31,degree_at_node_32,degree_at_node_33,degree_at_node_34,degree_at_node_35,degree_at_node_36,degree_at_node_37,degree_at_node_38,degree_at_node_39,degree_at_node_40,degree_at_node_41,degree_at_node_42,degree_at_node_43,degree_at_node_44,degree_at_node_45,degree_at_node_46,degree_at_node_47,degree_at_node_48,degree_at_node_49,degree_at_node_50,degree_at_node_51,degree_at_node_52,degree_at_node_53,degree_at_node_54,degree_at_node_55,degree_at_node_56,degree_at_node_57,degree_at_node_58,degree_at_node_59,target_0_x,target_0_y,target_1_x,target_1_y,target_2_x,target_2_y,target_3_x,target_3_y
21,-1.601168722184077,0.01116743290591371,12,11,5,8,9,10,6,9,5,11,4,5,6,5,6,5,4,6,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7403278230183501,0.17758457384809967,1.0275367780374935,0.6895038471012924,-0.04582039983113262,-1.6969067607816717,0.14944787999231135,-1.3833052239883457
22,-2.1368972333112635,-0.8930083827477588,13,11,5,8,9,10,6,9,5,12,4,5,6,5,6,5,4,7,6,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-0.5357010723843603,-0.9959184558069185,-1.1607137808187287,0.47554463820847914,1.8306728427864458,0.5733509512160384
23,-0.5351742687928649,-0.30345604716163876,14,11,5,8,9,10,6,9,5,13,4,5,7,5,6,5,4,7,7,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-0.5357010723843603,-0.9959184558069185,-1.1607137808187287,0.47554463820847914,1.5988692810901872,0.1748258095931945
24,0.32910230089473913,-3.0,14,11,5,9,9,10,6,9,5,14,5,6,7,5,6,5,4,7,7,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14191197285179413,-0.5717854806757781,-0.5357010723843603,-0.9959184558069185,-1.7997149941576183,-1.1836426281915704,0.14670518734100124,-0.24344079249315653
25,1.6101740433956353,1.3944023430918797,14,11,5,9,9,11,6,10,6,14,6,6,7,5,6,5,4,7,7,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8796719716428205,1.3389570341086374,-1.7997149941576183,-1.1836426281915704,0.3389087755073481,0.4804722304405171,1.0275367780374935,0.6895038471012924
26,1.3848449673834509,2.1072779871976115,14,12,6,9,9,11,6,10,6,14,6,6,8,5,6,5,4,7,8,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7403278230183501,0.17758457384809967,-2.1710012953307727,0.07990259701760172,-1.1607137808187287,0.47554463820847914,1.5988692810901872,0.1748258095931945
27,-0.0906597404552798,1.34800864396491,15,12,6,9,9,11,6,10,6,15,6,6,8,5,6,5,4,7,8,5,4,4,4,4,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,1.6101740433956353,1.3944023430918797,0.832721066773213,-1.1215277105570092,-0.5357010723843603,-0.9959184558069185
28,-4.364166855347412,-0.04951959176863108,15,12,6,9,9,12,6,10,6,15,7,6,8,5,6,5,4,7,8,5,5,4,4,4,4,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7997149941576183,-1.1836426281915704,-0.0906597404552798,1.34800864396491,-3.592130448161464,0.6310187699031515,0.3389087755073481,0.4804722304405171
29,-2.879575160713911,0.08163125093147894,15,12,6,9,9,13,6,10,6,16,7,6,8,5,7,5,4,7,8,5,5,4,5,4,4,5,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5357010723843603,-0.9959184558069185,0.3389087755073481,0.4804722304405171,-2.1368972333112635,-0.8930083827477588,0.21831841603457836,-0.8240813575399746
30,3.169430359699856,-0.4538480182564344,16,12,6,9,9,14,7,10,6,16,7,6,8,5,7,5,4,8,8,5,5,4,5,4,4,5,4,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,1.8306728427864458,0.5733509512160384,0.3389087755073481,0.4804722304405171,-0.04582039983113262,-1.6969067607816717
31,2.0501442931809164,-0.9478582807025195,16,13,6,9,9,15,7,10,6,16,7,6,8,5,7,5,4,8,8,5,5,4,5,4,4,6,4,5,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7403278230183501,0.17758457384809967,-2.879575160713911,0.08163125093147894,0.3389087755073481,0.4804722304405171,1.6101740433956353,1.3944023430918797
32,-3.568337808515487,-1.318756330927638,16,14,6,9,9,15,8,10,6,16,8,6,8,5,7,6,4,8,8,5,5,4,5,4,4,6,4,5,4,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7403278230183501,0.17758457384809967,-1.7997149941576183,-1.1836426281915704,-0.04582039983113262,-1.6969067607816717,0.14944787999231135,-1.3833052239883457
33,-1.5845843801373887,1.729119437746423,16,14,6,9,9,15,8,10,6,16,8,6,8,6,7,6,4,8,8,5,5,5,5,4,4,6,4,5,5,6,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1362545483018152,-0.5655339110194979,-1.601168722184077,0.01116743290591371,-4.364166855347412,-0.04951959176863108,-2.879575160713911,0.08163125093147894
34,0.3688172507476155,2.4497213633843096,16,14,6,9,9,16,8,10,7,16,8,6,9,6,7,6,4,8,8,5,5,5,5,5,4,6,4,5,5,6,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8796719716428205,1.3389570341086374,1.5988692810901872,0.1748258095931945,0.3389087755073481,0.4804722304405171,-0.5351742687928649,-0.30345604716163876
35,2.919291896655338,-1.970320700235387,16,14,6,9,10,16,8,10,7,17,8,6,10,6,7,6,4,8,8,5,5,5,5,6,4,6,4,5,5,6,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5357010723843603,-0.9959184558069185,1.5988692810901872,0.1748258095931945,0.9182860714460945,-0.30584273655336913,-0.5351742687928649,-0.30345604716163876
36,-5.0,0.35394539505547273,16,14,6,9,10,16,8,10,7,18,8,7,10,6,7,6,4,8,9,5,6,5,5,6,4,6,4,5,5,6,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5357010723843603,-0.9959184558069185,-1.1607137808187287,0.47554463820847914,-0.14191197285179413,-0.5717854806757781,-3.592130448161464,0.6310187699031515
37,1.4263129776015528,2.5080008735092347,17,14,6,9,11,16,8,10,7,18,8,7,10,6,7,6,5,9,9,5,6,5,5,6,4,6,4,5,5,6,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-2.076154353283772,0.8879726429024273,0.9182860714460945,-0.30584273655336913,1.8306728427864458,0.5733509512160384
38,1.7462653792910885,-2.8503037239408737,17,14,6,9,11,16,8,10,7,19,8,7,11,6,7,6,5,9,9,5,6,5,6,6,4,6,4,5,5,6,4,5,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5357010723843603,-0.9959184558069185,1.5988692810901872,0.1748258095931945,-2.1368972333112635,-0.8930083827477588,2.0501442931809164,-0.9478582807025195
39,1.266930384741297,-2.344144222306908,18,14,6,9,11,16,8,11,7,19,8,7,12,6,7,6,5,9,9,6,6,5,6,6,4,6,4,5,5,6,4,5,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,0.832721066773213,-1.1215277105570092,1.5988692810901872,0.1748258095931945,1.0275367780374935,0.6895038471012924
40,4.740545453174827,0.3499585894733954,19,14,6,9,11,16,8,12,7,19,8,7,13,6,7,7,5,9,9,6,6,5,6,6,4,6,4,5,5,6,4,5,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,1.5988692810901872,0.1748258095931945,0.14944787999231135,-1.3833052239883457,1.0275367780374935,0.6895038471012924
41,-1.8730788312625242,-1.8383331940850818,19,14,6,9,12,16,8,12,7,20,8,7,13,6,7,8,5,9,9,6,7,5,6,6,4,6,4,5,5,6,4,5,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5357010723843603,-0.9959184558069185,-3.592130448161464,0.6310187699031515,0.9182860714460945,-0.30584273655336913,0.14944787999231135,-1.3833052239883457
42,-1.7502908132350106,-2.46770273635141,19,14,6,9,12,16,8,12,7,20,8,7,13,7,7,9,5,9,9,6,7,6,6,6,4,6,4,5,5,6,4,5,4,4,4,4,4,4,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8730788312625242,-1.8383331940850818,-1.601168722184077,0.01116743290591371,-1.1362545483018152,-0.5655339110194979,0.14944787999231135,-1.3833052239883457
43,-1.0445889776866801,1.4062993476295969,19,14,6,9,12,16,8,12,7,20,8,7,13,7,7,9,5,9,10,6,8,6,6,6,4,6,4,5,5,6,4,5,4,4,5,4,4,4,4,4,4,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8730788312625242,-1.8383331940850818,0.3688172507476155,2.4497213633843096,-1.1607137808187287,0.47554463820847914,-3.592130448161464,0.6310187699031515
44,3.467020397093968,0.1945987312772406,19,14,6,9,13,16,8,13,7,20,8,7,13,7,7,9,5,9,11,6,8,6,6,6,4,6,4,5,5,6,4,5,4,5,5,4,4,4,4,4,4,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5845843801373887,1.729119437746423,-1.1607137808187287,0.47554463820847914,0.9182860714460945,-0.30584273655336913,1.0275367780374935,0.6895038471012924
45,-2.0928915407209443,1.8870338832514904,20,14,6,9,13,16,8,14,7,20,8,8,13,7,7,9,5,9,11,6,8,6,6,6,4,7,4,5,5,6,4,5,4,5,5,4,4,4,4,4,4,6,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,1.6101740433956353,1.3944023430918797,-0.14191197285179413,-0.5717854806757781,1.0275367780374935,0.6895038471012924
46,3.20089892116391,-0.8361310914287436,21,14,6,9,13,16,8,14,7,20,8,9,13,7,8,9,5,9,11,6,8,6,6,6,4,7,4,5,5,6,4,5,4,5,5,4,4,4,4,4,4,6,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-1.7502908132350106,-2.46770273635141,-0.14191197285179413,-0.5717854806757781,0.21831841603457836,-0.8240813575399746
47,5.0,-0.2312905966613541,22,14,6,10,13,17,8,14,7,20,8,9,13,7,8,9,5,9,11,6,8,6,6,6,4,7,4,5,5,6,5,5,4,5,5,4,4,4,4,4,4,6,5,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,0.14670518734100124,-0.24344079249315653,0.3389087755073481,0.4804722304405171,3.169430359699856,-0.4538480182564344
48,2.7984943352710205,1.5124217604287002,22,14,6,10,14,17,8,14,7,20,8,9,13,8,9,9,5,9,11,6,8,6,6,6,4,7,4,5,5,6,5,5,4,5,6,4,4,4,4,4,4,6,5,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0.3688172507476155,2.4497213633843096,0.9182860714460945,-0.30584273655336913,-1.1362545483018152,-0.5655339110194979,0.21831841603457836,-0.8240813575399746
49,-3.57992331657527,-2.4914455015328256,22,14,6,10,14,17,8,14,7,20,8,9,13,9,10,9,5,9,11,7,8,6,7,6,4,7,4,5,5,6,5,5,4,5,6,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0.832721066773213,-1.1215277105570092,-1.1362545483018152,-0.5655339110194979,-2.1368972333112635,-0.8930083827477588,0.21831841603457836,-0.8240813575399746
50,-4.007863347257808,-0.9384870036561197,22,14,7,10,14,17,8,14,7,20,9,10,13,9,10,9,5,9,12,7,8,6,7,6,4,7,4,5,5,6,5,5,4,5,6,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,-1.1607137808187287,0.47554463820847914,-0.14191197285179413,-0.5717854806757781,-1.7997149941576183,-1.1836426281915704,-2.1710012953307727,0.07990259701760172
51,-2.8294754597147707,-0.883559473054174,22,15,7,10,15,17,8,14,7,20,9,11,13,9,10,9,5,9,12,7,8,6,7,7,4,7,4,5,5,6,5,5,4,5,6,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,-0.7403278230183501,0.17758457384809967,-0.14191197285179413,-0.5717854806757781,0.9182860714460945,-0.30584273655336913,-0.5351742687928649,-0.30345604716163876
52,1.0005086883910748,-1.800341444414517,22,15,7,10,15,17,8,14,8,20,9,11,13,9,11,9,5,9,12,7,8,6,7,7,4,7,4,5,5,6,5,5,4,5,6,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,5,5,4,0,0,0,0,0,0,0,0.8796719716428205,1.3389570341086374,-4.007863347257808,-0.9384870036561197,-2.8294754597147707,-0.883559473054174,0.21831841603457836,-0.8240813575399746
53,-2.599939976465787,2.141046951246712,22,16,7,10,15,17,8,14,8,20,9,11,14,9,11,9,5,9,12,7,9,6,7,7,4,7,4,5,5,6,5,5,4,5,6,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,5,6,4,4,0,0,0,0,0,0,-0.7403278230183501,0.17758457384809967,-2.8294754597147707,-0.883559473054174,1.5988692810901872,0.1748258095931945,-3.592130448161464,0.6310187699031515
54,0.57451634979118,-2.169060572236342,23,17,7,10,15,17,8,14,8,20,9,11,14,9,12,9,5,9,12,7,9,6,7,8,4,7,4,5,5,6,5,5,4,5,6,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,5,6,4,4,4,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-0.7403278230183501,0.17758457384809967,0.21831841603457836,-0.8240813575399746,-0.5351742687928649,-0.30345604716163876
55,-3.33553775521493,-2.135239493493143,23,17,7,10,15,17,8,14,8,20,9,11,14,10,12,9,6,9,12,8,9,6,7,8,4,7,4,5,5,6,5,5,4,5,6,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,5,7,4,4,4,4,0,0,0,0,-2.076154353283772,0.8879726429024273,-2.8294754597147707,-0.883559473054174,0.832721066773213,-1.1215277105570092,-1.1362545483018152,-0.5655339110194979
56,3.9744570302227267,1.1668151454982203,23,17,7,10,15,17,8,14,8,20,9,12,14,10,12,9,6,9,12,9,9,6,7,8,4,7,4,6,5,6,6,5,4,5,6,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,5,7,4,4,4,4,4,0,0,0,-0.14191197285179413,-0.5717854806757781,-0.0906597404552798,1.34800864396491,0.832721066773213,-1.1215277105570092,3.169430359699856,-0.4538480182564344
57,3.7531067064236083,-2.0,24,17,7,10,15,18,8,15,8,20,9,12,14,10,12,9,6,9,12,9,9,6,7,8,4,7,4,6,5,6,6,5,4,6,6,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,5,7,4,4,4,4,4,4,0,0,1.2579899993701122,0.05579155553406512,-1.5845843801373887,1.729119437746423,0.3389087755073481,0.4804722304405171,1.0275367780374935,0.6895038471012924
