node_id,x,y,degree_at_node_0,degree_at_node_1,degree_at_node_2,degree_at_node_3,degree_at_node_4,degree_at_node_5,degree_at_node_6,degree_at_node_7,degree_at_node_8,degree_at_node_9,degree_at_node_10,degree_at_node_11,degree_at_node_12,degree_at_node_13,degree_at_node_14,degree_at_node_15,degree_at_node_16,degree_at_node_17,degree_at_node_18,degree_at_node_19,degree_at_node_20,degree_at_node_21,degree_at_node_22,degree_at_node_23,degree_at_node_24,degree_at_node_25,degree_at_node_26,degree_at_node_27,degree_at_node_28,degree_at_node_29,degree_at_node_30,degree_at_node_31,degree_at_node_32,degree_at_node_33,degree_at_node_34,degree_at_node_35,degree_at_node_36,degree_at_node_37,degree_at_node_38,degree_at_node_39,degree_at_node_40,degree_at_node_41,degree_at_node_42,degree_at_node_43,degree_at_node_44,degree_at_node_45,degree_at_node_46,degree_at_node_47,degree_at_node_48,degree_at_node_49,degree_at_node_50,degree_at_node_51,degree_at_node_52,degree_at_node_53,degree_at_node_54,degree_at_node_55,degree_at_node_56,degree_at_node_57,degree_at_node_58,degree_at_node_59,target_0_x,target_0_y,target_1_x,target_1_y
25,-4.860947441905493,1.0826615159571409,4,8,9,8,4,3,4,6,4,4,6,3,2,2,3,2,3,2,2,4,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6855926971144313,0.3340031039354616,-0.16176243330158346,0.5817931517489705
26,-3.2858599985836685,-2.143755228169937,4,9,9,8,4,4,4,6,4,4,6,3,2,2,3,2,3,2,2,4,2,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,-1.7507456002155708,-0.5317487159251395
27,0.355506026240918,-3.0,4,9,9,8,4,4,4,7,4,4,7,3,2,2,3,2,3,2,2,4,2,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4502565152570366,0.09503172751073574,1.0970108166040093,-0.9630888865465215
28,0.6043475909804199,-2.587481039185212,4,9,10,8,4,4,4,7,4,4,7,3,3,2,3,2,3,2,2,4,2,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4428382455446025,0.04560861092717028,1.1695796413948267,-0.3210245108392269
29,-0.4539992927799572,2.603778634900185,4,9,11,8,4,4,4,7,4,4,7,3,3,2,3,2,3,2,2,5,2,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4428382455446025,0.04560861092717028,-0.9762785023492535,1.208760154465602
30,-0.7570511883979547,-1.252569283486275,4,9,11,8,4,4,4,7,5,4,7,3,3,2,4,2,3,2,2,5,2,3,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.680376276568161,-0.6270990685184819,-0.16176243330158346,0.5817931517489705
31,2.0141261276165308,0.04999303760456142,4,10,11,8,4,4,4,7,5,4,7,3,3,2,4,2,3,2,2,6,2,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,-0.9762785023492535,1.208760154465602
32,-4.270194033949938,0.13356958843945677,4,10,12,8,4,4,4,7,5,4,7,3,4,2,4,2,3,2,2,6,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4428382455446025,0.04560861092717028,1.1695796413948267,-0.3210245108392269
33,4.149976979540426,-1.2190037114164634,4,11,12,8,4,4,4,8,5,4,7,3,4,2,4,2,3,2,2,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,1.0970108166040093,-0.9630888865465215
34,4.832026344710345,-0.5443055010809745,4,12,12,8,4,4,4,8,5,4,7,3,4,2,4,2,3,2,2,6,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04749448124853739,-1.5130082689647129,0.6186714168029059,-0.45857014093585224
35,3.123557889677814,-2.5283971489365955,4,13,12,8,4,4,4,8,5,4,7,3,4,2,4,2,3,2,2,6,2,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,2.0141261276165308,0.04999303760456142
36,-2.6124346873450577,2.4568634219584276,4,13,12,8,5,4,4,8,5,4,7,3,4,2,4,2,4,2,2,6,2,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3551973465247906,1.179796449399321,-0.7404254024283325,1.41003903995753
37,-0.8131073964816729,-2.8559608488509807,4,13,12,8,5,4,4,8,5,5,7,3,4,2,4,2,4,2,2,6,2,3,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4674690931572574,-1.4475312021135827,2.0141261276165308,0.04999303760456142
38,5.0,-0.8420863767136644,4,13,12,8,5,4,4,9,5,5,7,3,5,2,4,2,4,2,2,6,2,3,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1695796413948267,-0.3210245108392269,1.0970108166040093,-0.9630888865465215
39,2.5186336733352563,2.4129788960701912,4,13,12,8,6,4,4,9,5,5,7,3,5,2,4,2,4,2,2,7,2,3,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9762785023492535,1.208760154465602,-0.7404254024283325,1.41003903995753
